"district","sex","age_category","population"
"總  計","計","0~4",82475
"總  計","計","5~9",113273
"總  計","計","10~14",113852
"總  計","計","15~19",99917
"總  計","計","20~24",114297
"總  計","計","25~29",138595
"總  計","計","30~34",151100
"總  計","計","35~39",170624
"總  計","計","40~44",212129
"總  計","計","45~49",199468
"總  計","計","50~54",185459
"總  計","計","55~59",186123
"總  計","計","60~64",188516
"總  計","計","65~69",184724
"總  計","計","70~74",159093
"總  計","計","75~79",88725
"總  計","計","80~84",62550
"總  計","計","85~89",35751
"總  計","計","90~94",17855
"總  計","計","95~99",5657
"總  計","計","0",14762
"總  計","計","1",14225
"總  計","計","2",16699
"總  計","計","3",17421
"總  計","計","4",19368
"總  計","計","5",20102
"總  計","計","6",21192
"總  計","計","7",23114
"總  計","計","8",24000
"總  計","計","9",24865
"總  計","計","10",22411
"總  計","計","11",27271
"總  計","計","12",23594
"總  計","計","13",19534
"總  計","計","14",21042
"總  計","計","15",20325
"總  計","計","16",21076
"總  計","計","17",19880
"總  計","計","18",19165
"總  計","計","19",19471
"總  計","計","20",19642
"總  計","計","21",21434
"總  計","計","22",21693
"總  計","計","23",26440
"總  計","計","24",25088
"總  計","計","25",23458
"總  計","計","26",27987
"總  計","計","27",28208
"總  計","計","28",29739
"總  計","計","29",29203
"總  計","計","30",29506
"總  計","計","31",29487
"總  計","計","32",29567
"總  計","計","33",32255
"總  計","計","34",30285
"總  計","計","35",34484
"總  計","計","36",31359
"總  計","計","37",30929
"總  計","計","38",35385
"總  計","計","39",38467
"總  計","計","40",39753
"總  計","計","41",42245
"總  計","計","42",43757
"總  計","計","43",42771
"總  計","計","44",43603
"總  計","計","45",42379
"總  計","計","46",38086
"總  計","計","47",45058
"總  計","計","48",37129
"總  計","計","49",36816
"總  計","計","50",36313
"總  計","計","51",35846
"總  計","計","52",37006
"總  計","計","53",38182
"總  計","計","54",38112
"總  計","計","55",37597
"總  計","計","56",36038
"總  計","計","57",36946
"總  計","計","58",37322
"總  計","計","59",38220
"總  計","計","60",38506
"總  計","計","61",37777
"總  計","計","62",37042
"總  計","計","63",37766
"總  計","計","64",37425
"總  計","計","65",38307
"總  計","計","66",36198
"總  計","計","67",37665
"總  計","計","68",37165
"總  計","計","69",35389
"總  計","計","70",34185
"總  計","計","71",33971
"總  計","計","72",33651
"總  計","計","73",29534
"總  計","計","74",27752
"總  計","計","75",23576
"總  計","計","76",21043
"總  計","計","77",16339
"總  計","計","78",13046
"總  計","計","79",14721
"總  計","計","80",14315
"總  計","計","81",13412
"總  計","計","82",12556
"總  計","計","83",11839
"總  計","計","84",10428
"總  計","計","85",9229
"總  計","計","86",8005
"總  計","計","87",6988
"總  計","計","88",6265
"總  計","計","89",5264
"總  計","計","90",4680
"總  計","計","91",4114
"總  計","計","92",3638
"總  計","計","93",2990
"總  計","計","94",2433
"總  計","計","95",1857
"總  計","計","96",1465
"總  計","計","97",1098
"總  計","計","98",716
"總  計","計","99",521
"總  計","計","100",1108
"總  計","計","總計",2511291
"總  計","男","0~4",42428
"總  計","男","5~9",58348
"總  計","男","10~14",58850
"總  計","男","15~19",52012
"總  計","男","20~24",58966
"總  計","男","25~29",70061
"總  計","男","30~34",74106
"總  計","男","35~39",79858
"總  計","男","40~44",98922
"總  計","男","45~49",92398
"總  計","男","50~54",85642
"總  計","男","55~59",85537
"總  計","男","60~64",85911
"總  計","男","65~69",83906
"總  計","男","70~74",71365
"總  計","男","75~79",39112
"總  計","男","80~84",25549
"總  計","男","85~89",13229
"總  計","男","90~94",7277
"總  計","男","95~99",2494
"總  計","男","0",7609
"總  計","男","1",7271
"總  計","男","2",8555
"總  計","男","3",9048
"總  計","男","4",9945
"總  計","男","5",10346
"總  計","男","6",10904
"總  計","男","7",11950
"總  計","男","8",12434
"總  計","男","9",12714
"總  計","男","10",11582
"總  計","男","11",14063
"總  計","男","12",12255
"總  計","男","13",10155
"總  計","男","14",10795
"總  計","男","15",10607
"總  計","男","16",10916
"總  計","男","17",10233
"總  計","男","18",10078
"總  計","男","19",10178
"總  計","男","20",10101
"總  計","男","21",11134
"總  計","男","22",11121
"總  計","男","23",13662
"總  計","男","24",12948
"總  計","男","25",12092
"總  計","男","26",14230
"總  計","男","27",14174
"總  計","男","28",14953
"總  計","男","29",14612
"總  計","男","30",14558
"總  計","男","31",14567
"總  計","男","32",14663
"總  計","男","33",15743
"總  計","男","34",14575
"總  計","男","35",16281
"總  計","男","36",14823
"總  計","男","37",14239
"總  計","男","38",16473
"總  計","男","39",18042
"總  計","男","40",18520
"總  計","男","41",19902
"總  計","男","42",20323
"總  計","男","43",20009
"總  計","男","44",20168
"總  計","男","45",19755
"總  計","男","46",17623
"總  計","男","47",21027
"總  計","男","48",16961
"總  計","男","49",17032
"總  計","男","50",17096
"總  計","男","51",16553
"總  計","男","52",17015
"總  計","男","53",17618
"總  計","男","54",17360
"總  計","男","55",17194
"總  計","男","56",16587
"總  計","男","57",16977
"總  計","男","58",17232
"總  計","男","59",17547
"總  計","男","60",17573
"總  計","男","61",17257
"總  計","男","62",16933
"總  計","男","63",17280
"總  計","男","64",16868
"總  計","男","65",17419
"總  計","男","66",16148
"總  計","男","67",17041
"總  計","男","68",17073
"總  計","男","69",16225
"總  計","男","70",15537
"總  計","男","71",15369
"總  計","男","72",15092
"總  計","男","73",13068
"總  計","男","74",12299
"總  計","男","75",10528
"總  計","男","76",9284
"總  計","男","77",7377
"總  計","男","78",5598
"總  計","男","79",6325
"總  計","男","80",6041
"總  計","男","81",5696
"總  計","男","82",5057
"總  計","男","83",4743
"總  計","男","84",4012
"總  計","男","85",3531
"總  計","男","86",2941
"總  計","男","87",2555
"總  計","男","88",2241
"總  計","男","89",1961
"總  計","男","90",1790
"總  計","男","91",1619
"總  計","男","92",1530
"總  計","男","93",1289
"總  計","男","94",1049
"總  計","男","95",806
"總  計","男","96",667
"總  計","男","97",480
"總  計","男","98",323
"總  計","男","99",218
"總  計","男","100",514
"總  計","男","總計",1186485
"總  計","女","0~4",40047
"總  計","女","5~9",54925
"總  計","女","10~14",55002
"總  計","女","15~19",47905
"總  計","女","20~24",55331
"總  計","女","25~29",68534
"總  計","女","30~34",76994
"總  計","女","35~39",90766
"總  計","女","40~44",113207
"總  計","女","45~49",107070
"總  計","女","50~54",99817
"總  計","女","55~59",100586
"總  計","女","60~64",102605
"總  計","女","65~69",100818
"總  計","女","70~74",87728
"總  計","女","75~79",49613
"總  計","女","80~84",37001
"總  計","女","85~89",22522
"總  計","女","90~94",10578
"總  計","女","95~99",3163
"總  計","女","0",7153
"總  計","女","1",6954
"總  計","女","2",8144
"總  計","女","3",8373
"總  計","女","4",9423
"總  計","女","5",9756
"總  計","女","6",10288
"總  計","女","7",11164
"總  計","女","8",11566
"總  計","女","9",12151
"總  計","女","10",10829
"總  計","女","11",13208
"總  計","女","12",11339
"總  計","女","13",9379
"總  計","女","14",10247
"總  計","女","15",9718
"總  計","女","16",10160
"總  計","女","17",9647
"總  計","女","18",9087
"總  計","女","19",9293
"總  計","女","20",9541
"總  計","女","21",10300
"總  計","女","22",10572
"總  計","女","23",12778
"總  計","女","24",12140
"總  計","女","25",11366
"總  計","女","26",13757
"總  計","女","27",14034
"總  計","女","28",14786
"總  計","女","29",14591
"總  計","女","30",14948
"總  計","女","31",14920
"總  計","女","32",14904
"總  計","女","33",16512
"總  計","女","34",15710
"總  計","女","35",18203
"總  計","女","36",16536
"總  計","女","37",16690
"總  計","女","38",18912
"總  計","女","39",20425
"總  計","女","40",21233
"總  計","女","41",22343
"總  計","女","42",23434
"總  計","女","43",22762
"總  計","女","44",23435
"總  計","女","45",22624
"總  計","女","46",20463
"總  計","女","47",24031
"總  計","女","48",20168
"總  計","女","49",19784
"總  計","女","50",19217
"總  計","女","51",19293
"總  計","女","52",19991
"總  計","女","53",20564
"總  計","女","54",20752
"總  計","女","55",20403
"總  計","女","56",19451
"總  計","女","57",19969
"總  計","女","58",20090
"總  計","女","59",20673
"總  計","女","60",20933
"總  計","女","61",20520
"總  計","女","62",20109
"總  計","女","63",20486
"總  計","女","64",20557
"總  計","女","65",20888
"總  計","女","66",20050
"總  計","女","67",20624
